Lock removal inventory -- l2src/lmx_message.lm1
==================================================
Mikhail's order, 2026-09-15 (relayed by 6f): stop all other work, remove
LmxMsgExec's shared lock ("there must be no shared locks; the mail queue
has only its own internal collection lock"). This file is the input: every
`lmx_msg_exec_lock(` and every `*_locked(` call site in lmx_message.lm1,
one line per site -- file:line, enclosing function, the state read and
written under the lock, the lane it runs on today, and the target owner of
that state by the rule (a Message's own fields on its own lane; a parent's
scheduler state as the parent's Structure data; cross-lane only through a
mailbox with its own collection lock), or "silent" where none of the three
fits. lmx_message.lm2 mirrors lmx_message.lm1 line for line; the same grep
count (65) holds on both -- verified below, not assumed.

Read the code before naming state/lane; a site I could not classify from
the code in front of me is marked silent, not guessed. Four "_locked("
sites (lmx_msg_exec_route_locked, _wake_addr_locked, _ui_request_locked,
_take_ui_locked) are C-level externs with no lm1/lm2 body in this file or
anywhere in this worktree (grepped, no match) -- their own internal state
is silent by necessity; only the calling context's lane is visible.

Lanes seen so far: "R0/bootstrap" (the runtime-owner thread outside any
turn, lmx_msg_host_is_owner), "<X>'s own turn" (lmx_msg_exec_holding_turn
true for that Message), "any thread" (no turn/owner check in the function
itself -- callable from any lane, exec lock is the only guard), "unknown,
see caller <name>" (authority is enforced by a caller I have not traced).

Format: lm1:LINE | function | reads: ... | writes: ... | lane: ... | owner: ...
lmx_message.lm1:922 | lmx_msg_host_post (905-961) | reads: rt\root (via lmx_msg_ingress_root) | writes: none under this specific lock (pin/retain happens via lmx_msg_endp_retain, a refcount op, not a direct field write visible here) | lane: any OS thread -- function's own header comment (901-904) says so explicitly, guarded by the separate host lock (lmx_msg_host_lock, acquired before this exec lock at 914) | owner: silent -- reads rt\root (runtime-wide) under the exec lock while ALSO holding the host lock; two locks over the same runtime-wide state, ownership split across both.
lmx_message.lm1:975 | lmx_msg_host_drain (968-997), first lock | reads: rt\root (via lmx_msg_ingress_root) | writes: none under this lock | lane: R0/bootstrap outside any turn -- require_owner(rt) && !holding_any at line 973 | owner: silent -- reads rt\root (runtime-wide) under the exec lock; not a Message's own field, not a parent's scheduler state, not a mailbox.
lmx_message.lm1:987 | lmx_msg_host_drain (968-997), second lock | reads: n\next (walked) | writes: n\next=0, n\kind=n\ingress_kind, n\ingress_kind=0, rt\transport, rt\transport_tail (via lmx_msg_q_push) | lane: R0/bootstrap outside any turn (same guard as 975, still inside the same function) | owner: silent -- rt\transport/rt\transport_tail are runtime-wide queue state, not a mailbox with its own collection lock (this uses the shared exec lock instead).
lmx_message.lm1:1011 | lmx_msg_runtime_delete (999-1046), first lock | reads: rt\slots (walked via m\alloc_next) | writes: none under this specific acquisition (set_no_retire is a mode flag, not inlined here) | lane: R0/bootstrap -- host_is_owner(rt) check at 1006 | owner: silent -- rt\slots is runtime-wide table state.
lmx_message.lm1:1021 | lmx_msg_runtime_delete (999-1046), re-acquired inside the while loop after each iteration's unlock (1016) | reads: nxt (already captured as m\alloc_next before the unlock) | writes: none new at re-acquisition itself; the loop continues to walk rt\slots | lane: R0/bootstrap, same guard as 1011 | owner: silent -- same runtime-wide table state as 1011, released and re-acquired per iteration to let mailbox-side calls (inbox/outbox take) run unlocked.
lmx_message.lm1:1108 | lmx_msg_create_prepare (1083-1220) | reads: rt\root, p\addr (via self_or_find/find_create walk) | writes: rt\root (if unset), rt\next_addr, slot\owner_rt/addr/parent/create_id/state/committed/init_n/init/alloc_next/next_sibling, rt\slots, rt\n, plus parent linkage via lmx_msg_child_link, ch\next_sibling (sibling-chain walk) | lane: parent==0: R0/bootstrap (require_owner at 1099); parent!=0: that parent's own turn (require_turn at 1104) | owner: silent -- writes both the NEW child's own fields and the PARENT's/runtime's linkage state (rt\slots, rt\root, sibling chain) in the same locked region, from the creating lane; does not cleanly split into the three categories.
lmx_message.lm1:1253 | lmx_msg_send (1232-1286) | reads: src\state | writes: none of src/destn's own fields directly (node\dest_msg is the OUTGOING copy's own field, not src's) | lane: from's own turn -- require_turn(rt, from) at 1236 | owner: silent -- reads src\state (the sender's own field) from its own lane (fits category 1 for the read), but the retain calls (endp_retain) touch runtime-wide refcounts under the same lock -- mixed, not a clean single category.
lmx_message.lm1:1311 | lmx_msg_send_graph (1293-1349) | reads: src\state | writes: node\delivered (outgoing copy's own field), node\dest_msg | lane: from's own turn -- require_turn(rt, from) at 1297 | owner: silent -- same mixed shape as 1253 (own-field read plus runtime-wide refcount retain under one lock).
lmx_message.lm1:1376 | lmx_msg_send_owned (1351-1419) | reads: src\state | writes: env\bytes/env\n reset on failure paths (the CALLER's own env, not src's) | lane: from's own turn -- require_turn(rt, from) at 1355 | owner: silent -- same mixed shape as 1253/1311.
lmx_message.lm1:1451 | lmx_msg_release_slot (1435-1491) | reads: m\parent_msg, m\parent, rt\root, ch\next_sibling (walk) | writes: rt\root (if m was root), ch\next_sibling (sibling-chain splice), m\next_sibling=0, plus m\parent_msg unlink via lmx_msg_child_unlink | lane: unknown, see caller -- no turn/owner check in this function itself; its own comment (1449) says "every family-tree reader holds the exec lock" but not which lane may call release_slot | owner: silent -- family-tree linkage (rt\root, sibling chain), matches neither a single Message's own state nor a clean parent-Structure write; comment at 1442-1446 flags this exact tension ("the settling lane's write of the parent's mapping cell... cannot be refused here").
lmx_message.lm1:1504 | lmx_msg_first_settled_child (1501-1514) | reads: m\first_child, ch\handoff_ready, ch\native_users, ch\disposed, ch\orphan, ch\next_sibling (walk) | writes: none | lane: unknown, see caller -- no turn/owner check in this function | owner: silent -- reads m's CHILD's own fields (ch\*) while walking m's own first_child/next_sibling chain; a parent-side read of children's state, cross-lane unless the caller already holds m's own turn (not verifiable here).
lmx_message.lm1:1527 | lmx_msg_orphan_children (1521-1550), lock re-acquired each loop iteration | reads: x\first_child | writes: g\parent, g\create_id, g\orphan=1, g\closing (conditionally), plus linkage via lmx_msg_child_chain_remove/lmx_msg_child_link | lane: unknown, see caller -- no turn/owner check in this function; its own comment (1516-1520) says "the lane that settles [x] writes x's family cells" | owner: silent -- writes the ORPHANED CHILD's own fields (parent, create_id, orphan, closing) from x's settling lane, not the child's own lane; matches the same cross-lane-child-write pattern as 656 (handoff_supervision).
lmx_message.lm1:1573 | lmx_msg_settle_child (1567-1598), first lock | reads: child\parent_msg, p\disposed, child\disposed, child\native_users, child\handoff_ready | writes: none under this specific lock | lane: unknown, see caller -- no turn/owner check in this function itself (dispose_child/adopt_failed, its two callers, each check holding_turn(parent) before calling in) | owner: silent -- reads the CHILD's own fields (parent_msg, disposed, native_users, handoff_ready) from the settling/parent lane per the caller's authority, not the child's own lane.
lmx_message.lm1:1587 | lmx_msg_settle_child (1567-1598), second lock | reads: child\init, child\blocks, child\ranges (via lmx_msg_success_load(child) plus direct field reads) | writes: none under this lock | lane: same as 1573 (caller-enforced, not local) | owner: silent, same reasoning as 1573.
lmx_message.lm1:1612 | lmx_msg_dispose_child (1603-1617) | reads: none new (m found via self_or_find) | writes: none | lane: parent's own turn, OR R0/bootstrap outside any turn (pre-check 1607-1611, same shape as handoff_supervision) | owner: n/a -- this lock only resolves the address to a pointer (m); the actual state work happens in settle_child (1573/1587), already covered.
lmx_message.lm1:1631 | lmx_msg_adopt_failed (1621-1637) | reads: m\init, m\blocks, m\ranges (via success_load plus direct fields) | writes: none | lane: parent's own turn, OR R0/bootstrap outside any turn (pre-check 1626-1630, same shape as dispose_child) | owner: silent -- reads the CHILD's own fields (init, blocks, ranges) from the parent's/bootstrap's lane, not the child's own lane.
lmx_message.lm1:1674 | lmx_msg_orphan_sweep (1667-1704), lock re-acquired each loop iteration | reads: rt\root, m\first_child (walk), m\orphan_until, m\next_sibling (walk) | writes: m\orphan_until (conditionally, via lmx_msg_orphan_deadline) | lane: unknown, see caller -- no turn/owner check in this function itself; called from lmx_msg_drive (2290+, not yet read) | owner: silent -- writes an orphan child's own field (orphan_until) while walking R0's own child chain; same cross-lane-child-write shape as 656/1527.
lmx_message.lm1:1733 | lmx_msg_end_turn (1724-1843, not fully read yet) | reads: TBD, see next batch | writes: TBD, see next batch | lane: who's own turn -- require_turn(rt, who) at 1731 | owner: TBD, see next batch (function body continues past this excerpt).
lmx_message.lm1:1733 | lmx_msg_end_turn (1724-1843), first lock | reads: m\state, m\first_child, ch\next_sibling (walk) | writes: m\exec_live=0, m\last_beat, ch\tracked (per child, conditionally), m\live_query_pend_id (failure path) | lane: who's own turn -- require_turn(rt, who) at 1731 | owner: silent -- m's own fields fit category 1 (own lane), but ch\tracked writes a CHILD's own field from the parent m's turn, not the child's own lane; mixed.
lmx_message.lm1:1767 | lmx_msg_end_turn, re-acquired after the failure-path outbox take (1764 unlock) | reads: m\first_child, ch\next_sibling/committed/state (walk) | writes: none new at the re-acquisition line itself; the following loop (1771-1780) releases inactive children | lane: same as 1733 (who's own turn, unbroken across the unlock/relock) | owner: silent, same mixed shape as 1733.
lmx_message.lm1:1777 | lmx_msg_end_turn, re-acquired inside the child-release loop (1775 unlock, per released child) | reads: none new | writes: none at this line; ch itself is released via lmx_msg_release_slot (already inventoried at 1451, called here unlocked between 1775-1777) | lane: same as 1733 | owner: n/a for this line -- the actual release work happens unlocked, outside this specific acquisition.
lmx_message.lm1:1818 | lmx_msg_end_turn, re-acquired after the success-path outbox xfer (1815 unlock) | reads: none new | writes: rt\transport, rt\transport_tail (via lmx_msg_q_push, draining outb), m\closing (read, not written here), m\state=STOPPED/m\exec_live=0 (if closing), ch\next_sibling (walk, if closing) | lane: same as 1733 (who's own turn) | owner: silent -- rt\transport/_tail is runtime-wide queue state (same as 987 in host_drain); m\state/exec_live are m's own fields written on m's own turn (fits category 1 for those specifically), mixed with the runtime-wide queue write in the same locked region.
lmx_message.lm1:1852 | lmx_msg_admit_one (1844-1920) | reads: node\dest_msg/to, dest\owner_rt, dest\state, dest\committed, node\id/from (via lmx_msg_done_has), node\kind, node\owned, node\delivered | writes: dest\state=RUNNING (conditionally), dest\closing=1 (STOP kind), done-table entry via lmx_msg_done_add(dest,...) | lane: unknown, see caller -- no turn/owner check in this function; called from lmx_msg_pump (1934, unlocked) and indirectly from host_drain's pump call | owner: silent -- writes dest's own fields (state, closing, done-table) from admit_one's caller's lane, not necessarily dest's own turn.
lmx_message.lm1:1930 | lmx_msg_pump (1922-1941), first lock | reads: rt\transport (via lmx_msg_q_pop) | writes: rt\transport, rt\transport_tail (pop mutates both) | lane: R0/bootstrap, OR any lane currently holding a turn -- require_owner(rt) OR holding_any(rt)!=0 at 1925-1927 | owner: silent -- rt\transport/_tail is runtime-wide queue state (same as 987, 1818).
lmx_message.lm1:1938 | lmx_msg_pump, re-acquired each loop iteration after admit_one runs unlocked (1933 unlock) | reads: rt\transport (loop condition, re-checked) | writes: none new at the line itself; same pop-on-next-iteration pattern as 1930 | lane: same as 1930 | owner: silent, same as 1930.
lmx_message.lm1:1955 | lmx_msg_recv (1943-2027), self-turn fast path | reads: n\id/correlation/reply_to/kind/number/n/bytes | writes: out\id/correlation/reply_to/kind/number/n/bytes/graph (the CALLER's own out param, not runtime state), m\exec_id/exec_corr/exec_from/exec_reply/exec_live/last_beat | lane: who's own turn -- require_turn(rt,who) at 1947, and this branch is specifically m\addr=who (the calling Message reading its own inbox pop result already taken unlocked at 1951) | owner: fits category 1 -- m writes its own fields (exec_id, exec_corr, exec_from, exec_reply, exec_live, last_beat) on its own turn; the lock here guards against a concurrent reader of m's own fields from another lane, not a write-owner conflict.
lmx_message.lm1:1980 | lmx_msg_recv, non-self-turn path, first lock | reads: none new (m resolved via self_or_find) | writes: none | lane: who's own turn (require_turn at 1947, same guard as the whole function) but resolving a DIFFERENT Message m (who != the caller's own addr, per the m\addr=who check at 1950 failing) | owner: silent -- who's own turn reading/pinning a DIFFERENT Message's pointer; cross-Message access under the shared lock, not who's own state nor m's own lane.
lmx_message.lm1:1997 | lmx_msg_recv, non-self-turn path, second lock | reads: n\id/correlation/reply_to/kind/number/n/bytes | writes: out\id/correlation/reply_to/kind/number/n/bytes/graph (caller's own out param), m\exec_id/exec_corr/exec_from/exec_reply/exec_live/last_beat | lane: who's own turn resolving a different Message m (same as 1980) | owner: silent -- m's own fields (exec_id etc.) written from who's turn, not m's own lane; same cross-Message shape as 1980.
lmx_message.lm1:2072 | lmx_msg_fail (2061-2134), first lock | reads: m\parent, m\exec_id, m\exec_live, m\exec_reply | writes: m\state=DEAD | lane: who's own turn -- require_turn(rt,who) at 2070 | owner: fits category 1 -- m writes its own state field on its own turn (who=m\addr, since require_turn already resolved who to the caller's own turn).
lmx_message.lm1:2094 | lmx_msg_fail, second lock (after unlocked outbox/inbox take at 2091-2093) | reads: n\reply_to/id (walk), m\exec_live, m\exec_reply | writes: m\exec_live=0 | lane: same as 2072 (who's own turn, unbroken) | owner: fits category 1 -- m\exec_live is m's own field, written on its own turn.
lmx_message.lm1:2189 | lmx_msg_poll (2183-2201) | reads: rt\root, fam\next_sibling (walk, via poll_kids/poll_mark: m\parent, m\state, m\committed, ch\first_child, ch\next_sibling walked recursively) | writes: m\closing=1 (via poll_mark, per matched Message) | lane: R0/bootstrap -- require_owner(rt) at 2187 | owner: silent -- writes each matched descendant Message's own field (closing) from R0's lane while walking the whole family tree, not that Message's own lane.
lmx_message.lm1:2218 | lmx_msg_set_now (2205-2223) | reads: none new (rt\root_record resolved above the lock) | writes: rt\root_record's clock state (via lmx_root_record_set_clock/_set_clock_test, opaque struct not inlined here) | lane: R0's own turn, OR R0/bootstrap outside any turn -- holding_turn(rt,rt\root\addr) OR (host_is_owner && !holding_any) at 2208, matching this function's own header comment (2203-2204: "written only on R0's lane") | owner: silent -- rt\root_record is described in the function's own comment as "R0's management state" (a parent/root-level scheduler record), which fits category 2 (parent's scheduler state) if rt\root_record is treated as R0's own Structure data rather than plain runtime-wide state; leaving as silent since the record's own field layout isn't visible here (opaque via lmx_root_record_* calls).
lmx_message.lm1:2253 | lmx_msg_drive_one (2236-2276), re-acquired after inbox-empty check (2251 unlock, lock held by caller before this function started) | reads: none new | writes: none at this line (endp_release only) | lane: R0/bootstrap, propagated from lmx_msg_drive's own guard (2293) through drive_tree/drive_walk_children (not fully traced -- caller chain, not re-verified locally) | owner: n/a for this line -- release only.
lmx_message.lm1:2257 | lmx_msg_drive_one, re-acquired after the same unlock (2251), second check | reads: m\addr, m\state (plus drive_should_close's own reads: m\closing, m\exec_live, m\state, m\committed) | writes: none at this line | lane: same as 2253 | owner: silent -- reads m's own fields from a lane not verified as m's own (propagated from R0/bootstrap's drive walk).
lmx_message.lm1:2269 | lmx_msg_drive_one, re-acquired after unbound_close fails (2267-2268, called unlocked at 2262) | reads: none new | writes: none at this line (endp_release only) | lane: same as 2253 | owner: n/a -- release only.
lmx_message.lm1:2274 | lmx_msg_drive_one, re-acquired at function end (2262 unlock, after the is_bound/unbound_close calls) | reads: none new | writes: none at this line (endp_release only) | lane: same as 2253 | owner: n/a -- release only.
lmx_message.lm1:2307 | lmx_msg_drive (2290-2316) | reads: none new at this line | writes: none at this line (delegates to c.lmx_msg_drive_walk_roots, an extern with no body in this file) | lane: R0/bootstrap -- require_owner && !holding_any at 2293 | owner: silent -- delegates the actual family-tree walk/state work to an extern function.
lmx_message.lm1:2328 | lmx_msg_state (2318-2335), fallback path (fast path via lmx_msg_turn_slot returns early at 2321-2324 without locking) | reads: m\state | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2325, used only when who is not the caller's own turn slot | owner: silent -- reads a DIFFERENT Message's own field (m\state) from R0's lane, not that Message's own lane; same shape repeats in the next five functions (inbox_n, path_n, path_seg, child_n, child_at).
lmx_message.lm1:2348 | lmx_msg_inbox_n (2337-2359), fallback path | reads: none new (pin retained) | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2345 | owner: silent -- retains a different Message's refcount from R0's lane; same shape as 2328.
lmx_message.lm1:2371 | lmx_msg_path_n (2361-2378), fallback path | reads: m\path_n | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2368 | owner: silent, same shape as 2328.
lmx_message.lm1:2395 | lmx_msg_path_seg (2380-2402), fallback path | reads: m\path, m\path_n, m\path[i] | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2392 | owner: silent, same shape as 2328.
lmx_message.lm1:2420 | lmx_msg_child_n (2404-2431), fallback path | reads: m\first_child, ch\next_sibling (walk) | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2417 | owner: silent -- walks a different Message's own child chain from R0's lane; same shape as 2328.
lmx_message.lm1:2455 | lmx_msg_child_at (2433-2471), fallback path | reads: m\first_child, ch\next_sibling/addr (walk) | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2452 | owner: silent, same shape as 2420.
lmx_message.lm1:2500 | lmx_msg_init_copy (2473-2519), fallback path (fast path via turn_slot returns early at 2480-2495) | reads: m\parent, m\init_n, m\init | writes: none | lane: R0/bootstrap -- require_owner(rt) at 2497 | owner: silent -- reads a different Message's own fields (parent, init_n, init) from R0's lane, same shape as 2328/2420.
lmx_message.lm1:2587 | lmx_msg_sched_step (2576-2618) | reads: owner\sched_rec (retain only under this lock; the record's own cursor read happens unlocked at 2604 via lmx_sched_record_cursor) | writes: none under this specific lock (owner\sched_rec assignment at 2602 happens AFTER the unlock, unlocked) | lane: parent's own turn -- holding_turn(rt,parent) at 2584, the strongest authority check seen so far (no bootstrap fallback) | owner: fits category 2 -- the function's own comment (2570-2572) names owner\sched_rec explicitly as "the parent's scheduler record... an L2 Structure in the parent's arena, rooted there", read/written only from the parent's own turn (2573-2575: "run only from the parent's own turn"). This lock only guards the RETAIN of owner itself, not the record; the record's own reads/writes (2594-2613) already run unlocked, already on the parent's own turn.
lmx_message.lm1:2630 | lmx_msg_live_query (2620-2688), fallback path (turn_slot lookup failed) | reads: m\parent, m\live_query_id, m\live_query_pend_id, m\live_seq | writes: m\live_seq (incremented) | lane: who's own turn -- require_turn(rt,who) at 2626, unconditional for the whole function; this branch only covers turn_slot returning 0 for who, not a different authority | owner: fits category 1 -- all fields are who's own (m resolves to who via self_or_find), written on who's own turn per the function-wide require_turn guard.
lmx_message.lm1:2680 | lmx_msg_live_query, second fallback lock (after lmx_msg_send at 2670, when turn_slot again returns 0 at 2679) | reads: none new | writes: m\live_query_pend_id, m\live_query_pend_at | lane: who's own turn, same guard as 2630 | owner: fits category 1, same reasoning as 2630.
lmx_message.lm1:2731 | lmx_msg_live_handle (2690-2775), fallback path (turn_slot lookup failed at 2730) | reads: m\parent, m\exec_live, m\exec_from, m\live_query_id, m\first_child, ch\addr/next_sibling (walk) | writes: m\live_query_id=0 (conditionally), ch\child_heard_at (per matching child) | lane: who's own turn -- require_turn(rt,who) at 2698, unconditional | owner: silent (mixed) -- m\live_query_id fits category 1 (who's own field, own turn), but ch\child_heard_at writes a CHILD's own field from who's (the parent's) turn -- same cross-lane-child-write shape as 656/1527/1674.
lmx_message.lm1:2813 | lmx_msg_live_check (2777-2849), fallback path (turn_slot lookup failed at 2788; authority pre-check at 2783-2787: holding_turn(rt,who) OR host_is_owner&&!holding_any) | reads: m\live_query_id, m\live_query_at, m\first_child, ch\tracked/committed/state/child_heard_at/next_sibling (walk) | writes: m\closing=1 (conditionally) | lane: who's own turn, OR R0/bootstrap outside any turn (same two-way guard as handoff_supervision/dispose_child) | owner: silent (mixed) -- m\closing fits category 1 when lane is who's own turn, but the R0/bootstrap branch writes who's own field from a non-owning lane; and ch\closing (in the loop below) writes a CHILD's own field from who's/R0's lane either way.
lmx_message.lm1:2823 | lmx_msg_live_check, re-acquired after exec_ready call (2821 unlock) | reads: none new (m re-resolved via self_or_find) | writes: none at this line | lane: same as 2813 | owner: n/a -- re-resolves m only.
lmx_message.lm1:2844 | lmx_msg_live_check, re-acquired inside the child loop after each wake's exec_ready call (2842 unlock) | reads: none new | writes: none at this line | lane: same as 2813 | owner: n/a -- loop continues walking ch\next_sibling, already captured as nxt before the unlock.
